gid,light,dem,ndvi,road_dis,poi_dis,poi
9794,0,0,0.0,4881,20338.09936689864,0.0
9795,0,0,0.0,5361,20839.941302578773,0.0
9796,0,0,0.0,5845,21380.071443005127,0.0
9797,0,0,0.0,6312,21954.533498656987,0.0
9798,0,0,0.0,6715,22559.816148306527,0.0
9799,0,0,0.0,7130,23192.822257015177,0.0
9800,0,0,0.0,7555,23850.831400318868,0.0
9801,0,0,0.0,7988,24531.460399235566,0.0
9802,0,0,0.0,8310,25229.14246510017,0.0
9803,0,0,0.0,7829,25560.129440012555,0.0
9804,0,0,0.0,7349,25201.22986881949,0.0
9805,0,0,0.0,6873,24633.386399295876,0.0
9806,0,0,0.0,6400,24085.01651669569,0.0
9807,0,0,0.0,5932,23565.928510866077,0.0
9808,0,0,0.0,5469,23078.484242979757,0.0
9809,0,0,0.0,5014,22625.295758774653,0.0
9810,0,0,0.0,4568,22209.221063985016,0.0
9811,0,0,0.0,4134,21833.34555876468,0.0
9812,0,0,0.0,3717,21500.945145616355,0.0
9813,0,0,0.0,3323,21215.428182460342,0.0
9814,0,0,0.0,2961,20940.312740848258,0.0
9815,0,0,0.0,2644,20661.122150427276,0.0
9816,0,0,0.0,2389,20378.161299408468,0.0
9817,0,0,0.0,2167,20041.92856859199,0.0
9818,0,0,0.0,2047,19665.128200837673,0.0
9819,0,0,0.0,2045,19272.33168728064,0.0
9820,0,0,0.0,2161,18809.399092736156,0.0
9821,0,0,0.0,2330,18393.57232708805,0.0
9822,0,0,0.0,2514,18040.063869083693,0.0
9823,0,0,0.0,2778,17752.001621618252,0.0
9824,0,0,0.0,3100,17531.273821491322,0.0
9825,0,0,0.0,2988,17352.672697392638,0.0
9826,0,0,0.0,2896,17205.826473742996,0.0
9827,0,0,0.0,2888,17126.7149437303,0.0
9828,0,0,0.0,2967,17046.589274826645,0.0
9829,0,0,0.0,2921,16966.251594087455,0.0
9830,0,0,0.0,2735,16682.65922243319,0.0
9831,0,0,0.0,2446,16329.520372583069,0.0
9832,0,0,0.0,1957,15617.595392911702,0.0
9833,0,0,0.0,1475,14856.678522138995,0.0
9834,0,23,0.0,1011,14129.300217055927,0.0
9835,6,23,0.84955,598,13445.81060512487,0.0
9836,6,23,0.8415084999999999,205,12818.548755690696,0.0
9837,6,23,0.814177909090909,133,12212.853429068671,0.0
9838,6,23,0.7915812592592592,62,11664.892275538108,0.0
9839,6,23,0.823478,555,11220.595522160433,0.0
9840,7,23,0.8025408,332,10761.30121033297,0.0
9841,7,23,0.786317739130435,86,10343.356531923935,0.0
9842,7,23,0.79171075,341,10043.820179002527,0.0
9843,7,23,0.8111628333333329,55,9894.938099833205,0.0
9844,7,22,0.816087,162,9890.13966234831,0.0
9845,6,22,0.806707538461539,102,10057.24445096522,0.0
9846,6,26,0.801768916666667,261,10268.475470039632,0.0
9847,5,26,0.8165126363636359,72,10465.219711802105,0.0
9848,5,24,0.794762166666667,244,10738.425853178967,0.0
9849,4,24,0.816555,34,10994.82253073955,0.24796345883466842
9850,4,21,0.806277857142857,374,11449.247964739607,0.0
9851,4,21,0.7680910952380949,771,11976.402949721978,0.0
9852,4,21,0.7566930000000001,408,12412.428172559707,0.0
9853,5,21,0.770685347826087,22,12874.56572666168,0.0
